"ZONA";"BAIRRO"
"1";"BELA VISTA"
"2";"PERDIZES"
"3";"SANTA IFIGÊNIA"
"4";"MOÓCA"
"5";"JARDIM PAULISTA"
"6";"VILA MARIANA"
"20";"VALO VELHO"
"246";"SANTO AMARO"
"247";"SÃO MIGUEL PAULISTA"
"248";"ITAQUERA"
"249";"SANTANA"
"250";"LAPA"
"251";"PINHEIROS"
"252";"PENHA DE FRANÇA"
"253";"TATUAPÉ"
"254";"VILA MARIA"
"255";"CASA VERDE"
"256";"TUCURUVI"
"257";"VILA PRUDENTE"
"258";"INDIANÓPOLIS"
"259";"SAÚDE"
"260";"IPIRANGA"
"280";"CAPELA DO SOCORRO"
"320";"JABAQUARA"
"325";"PIRITUBA"
"326";"ERMELINO MATARAZZO"
"327";"NOSSA SENHORA DO Ó"
"328";"CAMPO LIMPO"
"346";"BUTANTÃ"
"347";"VILA MATILDE"
"348";"VILA FORMOSA"
"349";"JAÇANÃ"
"350";"SAPOPEMBA"
"351";"CIDADE ADEMAR"
"352";"ITAIM PAULISTA"
"353";"GUAIANASES"
"371";"GRAJAÚ"
"372";"PIRAPORINHA"
"373";"CAPÃO REDONDO"
"374";"RIO PEQUENO"
"375";"SÃO MATEUS"
"376";"BRASILÂNDIA"
"381";"PARELHEIROS"
"389";"PERUS"
"390";"CANGAÍBA"
"392";"PONTE RASA"
"397";"JARDIM HELENA"
"398";"VILA JACUÍ"
"403";"JARAGUÁ"
"404";"CIDADE TIRADENTES"
"405";"CONJUNTO JOSÉ BONIFÁCIO"
"408";"JARDIM SÃO LUÍS"
"413";"CURSINO"
"417";"PARQUE DO CARMO"
"418";"PEDREIRA"
"420";"VILA SABRINA"
"421";"TEOTÔNIO VILELA"
"422";"LAUZANE PAULISTA"
